imageFile,corrAns,sameOrDiff,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,feedback.started,background_3.started,textbox.started,feedback.stopped,background_3.stopped,textbox.stopped,thanks.started,background_4.started,endmsg.started,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,False,0.014615500000218162,0.036059099998965394,0.036059099998965394,0.036059099998965394,39.31585559999803,,,,,,,,,,,,,,,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/235_C2_DV.jpg,left,same,0,0,0,right,0,16.043635699999868,None,0,0,0,18,39.428433099998074,,,,,,,,39.41300399999818,39.428433099998074,39.428433099998074,39.428433099998074,39.428433099998074,55.47453400000086,right,0,16.043635699999868,None,55.485192899999674,55.49350449999838,55.49350449999838,56.477975900001184,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/102_C2_DV.jpg,left,same,1,1,0,left,1,8.359061800001655,None,0,1,1,9,56.54403950000051,,,,,,,,56.527280899998004,56.54403950000051,56.54403950000051,56.54403950000051,56.54403950000051,64.90748779999922,left,1,8.359061800001655,None,64.91722790000131,64.92912810000053,64.92912810000053,65.91792189999978,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/282_108_R.jpg,right,different,2,2,0,right,1,2.4911643999985245,None,0,2,2,37,66.01592750000054,,,,,,,,66.00287759999992,66.01592750000054,66.01592750000054,66.01592750000054,66.01592750000054,68.5139663000009,right,1,2.4911643999985245,None,68.51703460000135,68.52692369999932,68.52692369999932,69.51997180000035,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/092_C2_DV.jpg,left,same,3,3,0,left,1,6.647654699998384,None,0,3,3,8,69.59029559999908,,,,,,,,69.57512810000117,69.59029559999908,69.59029559999908,69.59029559999908,69.59029559999908,76.24490929999956,left,1,6.647654699998384,None,76.24696019999828,76.2563138000005,76.2563138000005,77.24147029999949,77.28688500000135,77.28688500000135,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/068_C2_DV.jpg,left,same,4,4,0,right,0,8.450139499997022,None,0,4,4,2,77.28688500000135,,,,,,,,77.27407289999974,77.28688500000135,77.28688500000135,77.28688500000135,77.28688500000135,85.74571669999932,right,0,8.450139499997022,None,85.74842799999897,85.75896329999887,85.75896329999887,86.74662999999782,86.81258149999849,86.81258149999849,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/108_DV_C2.jpg,left,same,5,5,0,right,0,2.0862625000008848,None,0,5,5,10,86.81258149999849,,,,,,,,86.7993263999997,86.81258149999849,86.81258149999849,86.81258149999849,86.81258149999849,88.91376749999836,right,0,2.0862625000008848,None,88.91668489999938,88.92782100000113,88.92782100000113,89.91924369999833,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/076_109_R.jpg,right,different,6,6,0,left,0,7.891151099996932,None,0,6,6,24,89.97743740000078,,,,,,,,89.96418450000056,89.97743740000078,89.97743740000078,89.97743740000078,89.97743740000078,97.88344380000126,left,0,7.891151099996932,None,97.88654749999841,97.89736619999894,97.89736619999894,98.88438839999799,98.94131909999851,98.94131909999851,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/116_067_R.jpg,right,different,7,7,0,right,1,11.593823900002462,None,0,7,7,30,98.94131909999851,,,,,,,,98.93006790000072,98.94131909999851,98.94131909999851,98.94131909999851,98.94131909999851,110.54773439999917,right,1,11.593823900002462,None,110.54927680000037,110.55570889999944,110.55570889999944,111.54375499999878,111.60460439999952,111.60460439999952,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/091_283_R.jpg,right,different,8,8,0,right,1,2.5411459999995714,None,0,8,8,26,111.60460439999952,,,,,,,,111.59441259999949,111.60460439999952,111.60460439999952,111.60460439999952,111.60460439999952,114.15021680000063,right,1,2.5411459999995714,None,114.1528588000001,114.16346049999993,114.16346049999993,115.15442669999902,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/019_074_L.jpg,right,different,9,9,0,right,1,13.147423999998864,None,0,9,9,21,115.21024829999806,,,,,,,,115.19871449999846,115.21024829999806,115.21024829999806,115.21024829999806,115.21024829999806,128.36530159999893,right,1,13.147423999998864,None,128.36819910000122,128.37903509999887,128.37903509999887,129.36579269999856,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/129_C2_DV.jpg,left,same,10,10,0,left,1,8.799319499998091,None,0,10,10,13,129.41992739999841,,,,,,,,129.40717999999833,129.41992739999841,129.41992739999841,129.41992739999841,129.41992739999841,138.2308817000012,left,1,8.799319499998091,None,138.2328533,138.24108739999792,138.24108739999792,139.22877140000128,139.27030970000123,139.27030970000123,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
